연도,역명,호선,합계_승차인원,합계_하차인원,1월_승차인원,1월_하차인원,2월_승차인원,2월_하차인원,3월_승차인원,3월_하차인원,4월_승차인원,4월_하차인원,5월_승차인원,5월_하차인원,6월_승차인원,6월_하차인원,7월_승차인원,7월_하차인원,8월_승차인원,8월_하차인원,9월_승차인원,9월_하차인원,10월_승차인원,10월_하차인원,11월_승차인원,11월_하차인원,12월_승차인원,12월_하차인원
2019,동대문,1호선,5169093,5706235,430681.0,468883.0,390754.0,434399.0,485481.0,540604.0,473930.0,520673.0,492881.0,546384.0,456213.0,502813.0,440459.0,488037.0,193213.0,214166.0,423164.0,468057.0,460523.0,508093.0,449462.0,491955.0,472332.0,522171.0
2019,동묘앞,1호선,3848084,4073455,315909.0,331312.0,302401.0,326324.0,373033.0,400163.0,351994.0,373273.0,379243.0,403253.0,344311.0,362972.0,306370.0,323543.0,141289.0,146383.0,312715.0,328893.0,350241.0,371252.0,337823.0,356654.0,332755.0,349433.0
2019,서울역,1호선,19745539,18722104,1685377.0,1565402.0,1501880.0,1406839.0,1775410.0,1670590.0,1782335.0,1690482.0,1822756.0,1740122.0,1688311.0,1614227.0,1726475.0,1646119.0,774806.0,753977.0,1581363.0,1506704.0,1790088.0,1704534.0,1791702.0,1704479.0,1825036.0,1718629.0
2019,시청,1호선,8974415,9123130,752881.0,750975.0,612726.0,606426.0,791485.0,790133.0,815806.0,819247.0,824673.0,842008.0,754073.0,772853.0,773869.0,799548.0,349943.0,356141.0,696110.0,706568.0,899630.0,946290.0,835339.0,856441.0,867880.0,876500.0
2019,신설동,1호선,5543510,5404401,472874.0,460741.0,400714.0,391034.0,515401.0,505764.0,510520.0,498911.0,521564.0,507080.0,479398.0,467917.0,492545.0,485187.0,202826.0,196577.0,442906.0,430461.0,505124.0,491931.0,497770.0,483721.0,501868.0,485077.0
2019,제기동,1호선,7032120,7187508,649010.0,669303.0,500982.0,509512.0,640590.0,650492.0,644586.0,657686.0,654167.0,665272.0,613336.0,626400.0,601637.0,620451.0,266040.0,270910.0,583400.0,599640.0,642310.0,656840.0,616800.0,629959.0,619262.0,631043.0
2019,종각,1호선,15141206,14501816,1355062.0,1283867.0,1118613.0,1056895.0,1363913.0,1286470.0,1349220.0,1285310.0,1384246.0,1319960.0,1250659.0,1207012.0,1356593.0,1335374.0,606436.0,579520.0,1147814.0,1107158.0,1400121.0,1345204.0,1338355.0,1291388.0,1470174.0,1403658.0
2019,종로3가,1호선,11867717,11184463,1061531.0,1009208.0,897965.0,852361.0,1085108.0,1021673.0,1053335.0,986013.0,1115789.0,1038382.0,1024876.0,964064.0,1044990.0,1007605.0,461761.0,441933.0,917113.0,857743.0,1079746.0,1002525.0,1029058.0,966289.0,1096445.0,1036667.0
2019,종로5가,1호선,9305189,9355471,820887.0,821292.0,696163.0,697090.0,864861.0,868472.0,849977.0,853252.0,872217.0,876812.0,781757.0,793956.0,791177.0,805135.0,345407.0,342616.0,715748.0,718272.0,861027.0,862076.0,835188.0,838723.0,870780.0,877775.0
2019,청량리,1호선,8782562,9068960,791398.0,816502.0,670935.0,696518.0,831542.0,860613.0,800144.0,825085.0,819403.0,844953.0,757570.0,780870.0,736959.0,761270.0,336070.0,346421.0,716913.0,738068.0,778774.0,805852.0,766162.0,793281.0,776692.0,799527.0
2019,강남,2호선,34346715,35109213,3222688.0,3263657.0,2620916.0,2670994.0,3091081.0,3143649.0,3006181.0,3063464.0,3092707.0,3154712.0,2903547.0,2973137.0,3335209.0,3419630.0,1449025.0,1475116.0,2585175.0,2651707.0,2937748.0,3013076.0,2972408.0,3049301.0,3130030.0,3230770.0
2019,강변,2호선,15635769,15396746,1336171.0,1309519.0,1223411.0,1210737.0,1423568.0,1391913.0,1390066.0,1360062.0,1475236.0,1449422.0,1349323.0,1330736.0,1374892.0,1357720.0,637823.0,637214.0,1252554.0,1244570.0,1378965.0,1349333.0,1390855.0,1374609.0,1402905.0,1380911.0
2019,건대입구,2호선,15316604,16785983,1295373.0,1425877.0,1139102.0,1258836.0,1432831.0,1560031.0,1384764.0,1494528.0,1488224.0,1609915.0,1328361.0,1452715.0,1340764.0,1481822.0,602311.0,668713.0,1201678.0,1322259.0,1335780.0,1462933.0,1363795.0,1497776.0,1403621.0,1550578.0
2019,교대,2호선,12459683,14188051,1074822.0,1210794.0,867806.0,978595.0,1129546.0,1284041.0,1144015.0,1298747.0,1155439.0,1307105.0,1059091.0,1196878.0,1145876.0,1301497.0,458354.0,513844.0,997732.0,1138515.0,1186932.0,1374680.0,1118511.0,1289384.0,1121559.0,1293971.0
2019,구로디지털단지,2호선,21670859,21662463,1903070.0,1900530.0,1577485.0,1573179.0,1962409.0,1962920.0,1988500.0,1990946.0,2009615.0,2010607.0,1856292.0,1859355.0,1992456.0,1993981.0,819262.0,817391.0,1699931.0,1698231.0,1938334.0,1934305.0,1945589.0,1945745.0,1977916.0,1975273.0
2019,구의,2호선,8381696,8069821,726652.0,706038.0,608715.0,589528.0,764021.0,739335.0,768996.0,741780.0,783711.0,751560.0,720758.0,691265.0,745078.0,712239.0,317455.0,301753.0,665407.0,638446.0,753695.0,723713.0,756160.0,729037.0,771048.0,745127.0
2019,낙성대,2호선,10400723,9991930,883490.0,854147.0,741005.0,709806.0,958944.0,930344.0,952000.0,924550.0,985171.0,952738.0,897685.0,859947.0,929854.0,883571.0,403715.0,377849.0,832170.0,800947.0,937615.0,898818.0,937521.0,897632.0,941553.0,901581.0
2019,당산,2호선,7625631,8423578,641392.0,703082.0,536526.0,588146.0,699958.0,766184.0,726231.0,797199.0,737298.0,806947.0,675727.0,736354.0,698829.0,765452.0,289107.0,313505.0,621017.0,683780.0,686547.0,772629.0,664186.0,748992.0,648813.0,741308.0
2019,대림,2호선,10130768,10437532,856973.0,884864.0,736243.0,761908.0,932351.0,964419.0,933428.0,963573.0,955477.0,982065.0,895489.0,916351.0,909134.0,930819.0,380377.0,395756.0,815434.0,842579.0,908594.0,934401.0,897956.0,924105.0,909312.0,936692.0
