,자치구명,사용월,승차총승객수,하차총승객수
0,강남구,201901,15867137,14375622
1,강남구,201902,15086290,13673556
2,강남구,201903,16780741,15139993
3,강남구,201904,17163188,15499827
4,강남구,201905,16622738,15019663
5,강남구,201906,16755323,15145234
6,강남구,201907,17716942,16014875
7,강남구,201908,16552227,15018893
8,강남구,201909,16050691,14512997
9,강남구,201910,16470358,14921308
10,강남구,201911,17123415,15516966
11,강남구,201912,17058454,15486118
12,강남구,202001,14730419,13425249
13,강남구,202002,14445417,13171440
14,강남구,202003,11068171,10127510
15,강남구,202004,11625256,10646706
16,강남구,202005,12466340,11391262
17,강남구,202006,14212575,12953233
18,강남구,202007,14469385,13182488
19,강남구,202008,12928922,11785307
20,강남구,202009,11783728,10821396
21,강남구,202010,12400221,11380329
22,강남구,202011,13843476,12685843
23,강남구,202012,10327076,9494481
24,강남구,202101,10617016,9796587
25,강남구,202102,11847239,10922813
26,강남구,202103,13094029,11999599
27,강남구,202104,13101541,11996698
28,강남구,202105,12617889,11545926
29,강남구,202106,13591832,12426459
30,강남구,202107,12520651,11467727
31,강동구,201901,4997645,5008927
32,강동구,201902,4865591,4876065
33,강동구,201903,5435074,5436674
34,강동구,201904,5606324,5605477
35,강동구,201905,5454958,5468098
36,강동구,201906,5452564,5455782
37,강동구,201907,5695185,5709259
38,강동구,201908,5329252,5354361
39,강동구,201909,5386240,5409985
40,강동구,201910,5706645,5730843
41,강동구,201911,5953623,5972331
42,강동구,201912,6146410,6164012
43,강동구,202001,5341122,5357532
44,강동구,202002,5214513,5223349
45,강동구,202003,4111461,4127138
46,강동구,202004,4323741,4359418
47,강동구,202005,4587083,4625652
48,강동구,202006,5106569,5122400
49,강동구,202007,5228237,5249903
50,강동구,202008,4670099,4672728
51,강동구,202009,4463235,4506699
52,강동구,202010,4810674,4894919
53,강동구,202011,5063376,5196367
54,강동구,202012,3931417,4019929
55,강동구,202101,4064978,4135850
56,강동구,202102,4477286,4565769
57,강동구,202103,4890477,4980521
58,강동구,202104,4856664,4933642
59,강동구,202105,4708528,4780757
60,강동구,202106,4906570,4975065
61,강동구,202107,4562244,4626773
62,강북구,201901,14143650,13773259
63,강북구,201902,14196000,13824005
64,강북구,201903,15270351,14880353
65,강북구,201904,15439307,15015068
66,강북구,201905,15359476,14984666
67,강북구,201906,15239808,14888297
68,강북구,201907,15210277,14832382
69,강북구,201908,14607213,14209612
