,대여소자치구,대여월,대여건수
266,노원구,201901.0,21789.0
756,중구,201901.0,15878.0
125,관악구,201901.0,18592.0
63,강북구,201901.0,8030.0
725,종로구,201901.0,29691.0
156,광진구,201901.0,29205.0
187,구로구,201901.0,16888.0
235,금천구,201901.0,8206.0
787,중랑구,201901.0,11875.0
514,성북구,201901.0,15571.0
669,은평구,201901.0,14984.0
638,용산구,201901.0,9215.0
297,도봉구,201901.0,6497.0
607,영등포구,201901.0,40713.0
359,동작구,201901.0,11244.0
390,마포구,201901.0,35855.0
328,동대문구,201901.0,16978.0
94,강서구,201901.0,23154.0
576,양천구,201901.0,13775.0
421,서대문구,201901.0,17262.0
483,성동구,201901.0,24179.0
1,강남구,201901.0,19773.0
545,송파구,201901.0,33525.0
452,서초구,201901.0,19697.0
32,강동구,201901.0,15268.0
757,중구,201902.0,13840.0
515,성북구,201902.0,14354.0
484,성동구,201902.0,22545.0
126,관악구,201902.0,16387.0
726,종로구,201902.0,25754.0
453,서초구,201902.0,18848.0
157,광진구,201902.0,27194.0
188,구로구,201902.0,15668.0
360,동작구,201902.0,11057.0
236,금천구,201902.0,7197.0
546,송파구,201902.0,33654.0
267,노원구,201902.0,21286.0
639,용산구,201902.0,9222.0
422,서대문구,201902.0,15625.0
298,도봉구,201902.0,6808.0
95,강서구,201902.0,21856.0
329,동대문구,201902.0,15553.0
608,영등포구,201902.0,35637.0
577,양천구,201902.0,12381.0
391,마포구,201902.0,33074.0
2,강남구,201902.0,18740.0
670,은평구,201902.0,14384.0
788,중랑구,201902.0,11022.0
33,강동구,201902.0,14394.0
64,강북구,201902.0,7583.0
65,강북구,201903.0,15217.0
547,송파구,201903.0,67783.0
34,강동구,201903.0,27385.0
3,강남구,201903.0,39697.0
609,영등포구,201903.0,71973.0
454,서초구,201903.0,37557.0
727,종로구,201903.0,45514.0
758,중구,201903.0,25146.0
578,양천구,201903.0,22879.0
330,동대문구,201903.0,31944.0
392,마포구,201903.0,69076.0
671,은평구,201903.0,27277.0
237,금천구,201903.0,13739.0
96,강서구,201903.0,43734.0
127,관악구,201903.0,32914.0
189,구로구,201903.0,29303.0
361,동작구,201903.0,21942.0
158,광진구,201903.0,57886.0
485,성동구,201903.0,44587.0
299,도봉구,201903.0,14006.0
789,중랑구,201903.0,21458.0
640,용산구,201903.0,17788.0
516,성북구,201903.0,30695.0
268,노원구,201903.0,42348.0
423,서대문구,201903.0,30535.0
128,관악구,201904.0,51725.0
641,용산구,201904.0,29372.0
455,서초구,201904.0,64393.0
759,중구,201904.0,36453.0
190,구로구,201904.0,47230.0
269,노원구,201904.0,66232.0
35,강동구,201904.0,42996.0
159,광진구,201904.0,92970.0
548,송파구,201904.0,117243.0
4,강남구,201904.0,67015.0
579,양천구,201904.0,36576.0
331,동대문구,201904.0,47186.0
486,성동구,201904.0,69886.0
517,성북구,201904.0,45331.0
393,마포구,201904.0,104324.0
672,은평구,201904.0,40087.0
610,영등포구,201904.0,122919.0
362,동작구,201904.0,35363.0
790,중랑구,201904.0,32128.0
238,금천구,201904.0,22243.0
728,종로구,201904.0,65750.0
97,강서구,201904.0,70542.0
300,도봉구,201904.0,21707.0
424,서대문구,201904.0,45086.0
66,강북구,201904.0,23743.0
363,동작구,201905.0,55420.0
394,마포구,201905.0,157737.0
191,구로구,201905.0,72018.0
580,양천구,201905.0,58170.0
425,서대문구,201905.0,66150.0
36,강동구,201905.0,73281.0
729,종로구,201905.0,84689.0
160,광진구,201905.0,143180.0
642,용산구,201905.0,45960.0
611,영등포구,201905.0,180203.0
129,관악구,201905.0,81259.0
518,성북구,201905.0,69075.0
270,노원구,201905.0,109497.0
791,중랑구,201905.0,53255.0
487,성동구,201905.0,106888.0
760,중구,201905.0,48859.0
301,도봉구,201905.0,35353.0
98,강서구,201905.0,121657.0
239,금천구,201905.0,32606.0
332,동대문구,201905.0,74088.0
673,은평구,201905.0,59095.0
67,강북구,201905.0,38165.0
549,송파구,201905.0,186347.0
456,서초구,201905.0,100606.0
5,강남구,201905.0,97410.0
612,영등포구,201906.0,183714.0
240,금천구,201906.0,35029.0
302,도봉구,201906.0,39993.0
581,양천구,201906.0,67379.0
333,동대문구,201906.0,79883.0
792,중랑구,201906.0,58282.0
271,노원구,201906.0,118253.0
643,용산구,201906.0,49603.0
674,은평구,201906.0,65215.0
192,구로구,201906.0,83116.0
364,동작구,201906.0,58314.0
699,정비센터,201906.0,98.0
6,강남구,201906.0,96615.0
395,마포구,201906.0,164642.0
457,서초구,201906.0,104718.0
488,성동구,201906.0,106732.0
550,송파구,201906.0,196295.0
730,종로구,201906.0,84880.0
37,강동구,201906.0,80906.0
99,강서구,201906.0,146433.0
161,광진구,201906.0,146464.0
