,정류소명,X좌표,Y좌표
0,종로2가사거리,126.9877862,37.56976415
1,창경궁.서울대학교병원,126.9965202,37.57917886
2,명륜3가.성대입구,126.9982902,37.58270882
3,종로2가.삼일교,126.9875072,37.56858223
4,혜화동로터리.여운형활동터,127.0016943,37.58622998
5,서대문역사거리,126.9669608,37.56620752
6,서울역사박물관.경희궁앞,126.9704199,37.56909809
7,서울역사박물관.경희궁앞,126.970442,37.56933602
8,광화문,126.9752406,37.57005075
9,광화문,126.9780909,37.57029571
10,종로1가,126.981,37.570072
11,종로1가,126.9813906,37.57026661
12,종로2가,126.9855411,37.57008725
13,종로2가,126.986254,37.57026795
14,종로3가.탑골공원,126.989569,37.57018754
15,종로3가.탑골공원,126.9899683,37.57038869
16,종로4가.종묘,126.9947287,37.57041688
17,종로4가.종묘,126.995277,37.57060029
18,종로5가.광장시장,126.9988533,37.57071571
19,종로5가.광장시장,126.9993199,37.57090764
20,종로6가.동대문종합시장,127.0034688,37.57091778
21,종로6가.동대문종합시장,127.0057094,37.57115181
22,동대문역.흥인지문,127.0134621,37.57228008
23,동대문(흥인지문),127.0124928,37.57216719
24,동묘앞,127.017533,37.573432
25,동묘앞,127.019639,37.57430372
26,경기상고,126.9694326,37.5875739
27,신교동,126.970341,37.58330295
28,경기상고,126.9696701,37.58717108
29,경복고교,126.9710437,37.58511248
30,청운중학교,126.9725944,37.58790085
31,자하문고개.윤동주문학관,126.9671282,37.59219358
32,자하문고개.윤동주문학관,126.9671677,37.59225741
33,청운중학교,126.9724615,37.58812866
34,경복고교,126.971148,37.58504593
35,통인시장종로구보건소,126.9711089,37.58033173
36,통인시장종로구보건소,126.971244,37.58048929
37,효자동,126.9705348,37.58308184
38,사직단.어린이도서관,126.9680206,37.57511252
39,사직동주민센터,126.9713179,37.57609006
40,경복궁역,126.9722922,37.57688877
41,경복궁역,126.9721844,37.57764064
42,경복궁,126.9787905,37.57577149
43,KT광화문지사,126.9772023,37.5724045
44,광화문,126.9764107,37.57003982
45,서울역사박물관.경교장.강북삼성병원,126.9713844,37.56993064
46,광화문.금호아시아나본관앞,126.9731311,37.57020901
47,광화문,126.9757675,37.57023908
48,세종문화회관,126.9767122,37.57266095
49,서울지방경찰청.경복궁역,126.9714955,37.57590104
50,사직단,126.9680705,37.57494659
51,광화문광화문빌딩,126.9768398,37.56969249
52,덕성여중고,126.9819731,37.57573943
53,안국역.종로경찰서.인사동,126.9840963,37.57597118
54,국민은행세검정지점,126.960969,37.604688
55,세검정초등학교,126.9612836,37.60248796
56,세검정.상명대,126.9587715,37.60066502
57,상명대입구.석파랑,126.958688,37.599605
58,하림각,126.9618276,37.598269
59,자하문터널입구.석파정,126.9637112,37.59558027
60,부암동주민센터.무계원,126.964027,37.592874
61,부암동주민센터.무계원,126.965131,37.59275754
62,자하문터널입구.석파정,126.9638097,37.59559179
63,하림각,126.9622117,37.59814363
64,상명대입구.세검정교회,126.9592186,37.59955974
65,세검정.상명대,126.958889,37.60061499
66,세검정초등학교,126.9613311,37.60229124
67,국민은행세검정지점,126.9611311,37.60470411
68,승가사입구,126.9563453,37.61158733
69,구기동현대빌라,126.9564726,37.61003593
70,구기터널.삼성출판박물관,126.956184,37.60854039
71,구기터널.삼성출판박물관,126.9564398,37.6083598
72,구기동,126.9585968,37.60704451
73,구기동,126.9590556,37.60695423
74,승가사입구,126.9564593,37.61143992
75,갑을씨티텔앞,126.9635571,37.60432366
76,평창파출소,126.9660716,37.6052849
77,평창동주민센터,126.9695658,37.60660852
78,일성아파트,126.9729382,37.60880117
79,롯데아파트,126.9764904,37.61039233
80,롯데아파트,126.9760875,37.61009411
81,벽산평창힐스아파트,126.9727677,37.60827711
82,예능교회,126.9700287,37.60662695
83,서울예술고등학교.평창동주민센터,126.9675555,37.60587045
