,지하철역,X좌표,Y좌표
1,가락시장,127.118234,37.492522
2,종로3가,126.991806,37.571607
3,오금,127.128111,37.502162
4,동대문,127.009745,37.57142
5,동대문역사문화공원,127.007896,37.565138
6,충무로,126.99428,37.561243
7,서울,126.972559,37.554648
8,신도림,126.891295,37.508725
9,이촌,126.974345,37.522272
10,왕십리,127.037732,37.561533
11,시청,126.977108,37.564718
12,교대,127.01408,37.493415
13,신설동,127.025087,37.575297
14,강변,127.094681,37.535095
15,까치산,126.846683,37.531768
16,을지로3가,126.99191,37.566295
17,홍대입구,126.925381,37.557192
18,광운대,127.061835,37.623632
19,상봉,127.085032,37.596362
20,망우,127.091909,37.59955
21,영등포구청,126.895951,37.52497
22,신길,126.917169,37.517122
23,을지로4가,126.998079,37.566941
24,합정,126.913739,37.549463
25,공덕,126.951592,37.544018
26,삼각지,126.97311,37.534777
27,약수,127.010655,37.55434
28,신당,127.01782,37.565972
29,동묘앞,127.016429,37.572627
30,석계,127.065851,37.614805
31,도봉산,127.046222,37.689313
32,불광,126.929887,37.610469
33,연신내,126.921008,37.619001
34,금정,126.943429,37.372221
35,수원,126.999874,37.265974
36,원인재,126.687389,37.412603
37,회기,127.057583,37.58946
38,대곡,126.811024,37.631626
39,디지털미디어시티,126.900984,37.576646
40,회룡,127.046895,37.724846
41,판교,127.111217,37.394761
42,오이도,126.738714,37.362357
43,이매,127.12827,37.396104
44,선정릉,127.043593,37.51098
45,종합운동장,127.073642,37.510997
46,천호,127.123572,37.538397
47,창동,127.047731,37.653166
48,사당,126.981685,37.47653
49,노원,127.061368,37.655128
50,군자,127.079542,37.557121
51,건대입구,127.07023,37.540693
52,고속터미널,127.004943,37.50481
53,총신대입구(이수),126.981989,37.486263
54,대림,126.895801,37.49297
55,가산디지털단지,126.882343,37.481072
56,온수,126.823388,37.492258
57,부평구청,126.720548,37.508336
58,잠실,127.102234,37.51395
59,복정,127.126662,37.470047
60,모란,127.129087,37.43213
61,부평,126.724805,37.489493
62,당산,126.902281,37.53438
63,여의도,126.924191,37.521624
64,동작,126.979306,37.502971
65,김포공항,126.801058,37.562434
66,강남,127.027926,37.497175
67,양재,127.034631,37.484147
68,정자,127.108105,37.36706
69,강남구청,127.04128,37.517186
70,선릉,127.049008,37.504503
71,효창공원앞,126.961351,37.539261
72,태릉입구,127.07512,37.617983
73,검암,126.673728,37.569104
74,주안,126.679923,37.464941
75,인천,126.616936,37.476691
76,인천시청,126.702221,37.457405
77,청량리,127.046835,37.580178
78,중랑,127.076116,37.594917
79,충정로,126.963672,37.559973
80,청구,127.013828,37.560245
81,성신여대입구,127.016403,37.592624
82,보문,127.019381,37.585286
83,계양,126.735637,37.571462
84,기흥,127.115936,37.275619
85,옥수,127.017965,37.540685
86,도곡,127.055381,37.490858
87,수서,127.10188,37.487371
88,용산,126.964561,37.529849
89,종각,126.982923,37.570161
90,종로5가,127.001849,37.570926
91,제기동,127.034893,37.578103
92,을지로입구,126.982618,37.566014
93,탑석,127.088704,37.733579
94,419민주묘지,127.013746,37.649593
95,가오리,127.016792,37.641701
96,화계,127.017519,37.634802
97,한티,127.052873,37.496237
98,구룡,127.058856,37.486839
99,홍제,126.943736,37.589066
100,김유정,127.71434,37.818466
101,남춘천,127.723792,37.864007
102,성균관대,126.97075,37.300349
103,경찰병원,127.12454,37.495918
104,구일,126.870793,37.496756
105,야탑,127.128715,37.411185
106,삼송,126.895558,37.653083
107,화정,126.83265,37.634592
108,영등포시장,126.905139,37.522669
109,상일동,127.166417,37.556712
110,공릉,127.072896,37.625742
111,상도,126.94791,37.502834
112,박촌,126.745077,37.553703
113,구성,127.105664,37.298969
114,인하대,126.649619,37.448493
115,숭의,126.638297,37.460789
116,센트럴파크,126.634729,37.393054
117,국제업무지구,126.630347,37.399907
118,강매,126.843223,37.612314
119,달월,126.745177,37.379681
120,원흥,126.872642,37.650658
121,완정,126.673203,37.592928
122,지평,127.629617,37.476444
123,석바위시장,126.692575,37.457611
124,상왕십리,127.029354,37.564354
125,한양대,127.043655,37.555273
126,뚝섬,127.047367,37.547184
127,성수,127.055961,37.544581
128,청계산입구,127.055664,37.447211
129,북한산우이,127.012789,37.663146
130,구의,127.085916,37.537077
131,잠실나루,127.10379,37.520733
132,잠실새내,127.086162,37.511687
133,삼성,127.06316,37.508844
134,역삼,127.036456,37.500622
135,서초,127.007917,37.491897
136,방배,126.997596,37.481426
137,낙성대,126.963693,37.47693
138,서울대입구,126.952739,37.481247
139,봉천,126.941892,37.482362
140,신림,126.929715,37.484201
141,신대방,126.913149,37.487462
142,구로디지털단지,126.901401,37.485266
143,문래,126.89476,37.517933
144,신촌,126.936893,37.555134
145,이대,126.946013,37.556733
