year,½ÂÇÏ°´,ÇÏÂ÷°´
201901,128937436,132780532
201902,124789738,128547850
201903,140433878,144709644
201904,143084559,147452704
201905,139996976,144202984
201906,138784006,142926564
201907,140962485,145053974
201908,133809814,137576840
201909,134382556,138184213
201910,138805578,142636150
201911,141290807,145116580
201912,139903037,143630056
202001,120658305,123776126
202002,114794874,117758688
202003,90881049,93144356
202004,96551432,98917468
202005,103948571,106563164
202006,113911015,116823215
202007,114836544,117780597
202008,102935206,105552259
202009,97673528,100019472
202010,103222672,105720064
202011,112339942,115030193
202012,86469438,88401790
202101,87287800,89287476
202102,97238840,99454170
202103,107180452,109707542
202104,108038145,110561739
202105,105440442,107932852
202106,110997447,113607481
202107,102624338,104953936
