기간	자치구	합계	합계	합계	특정 감염성 및 기생충성 질환	특정 감염성 및 기생충성 질환	특정 감염성 및 기생충성 질환	신생물	신생물	신생물	혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애	혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애	혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애	내분비 영양 및 대사 질환	내분비 영양 및 대사 질환	내분비 영양 및 대사 질환	정신 및 행동장애	정신 및 행동장애	정신 및 행동장애	신경계통의 질환	신경계통의 질환	신경계통의 질환	순환계통의 질환	순환계통의 질환	순환계통의 질환	호흡계통의 질환	호흡계통의 질환	호흡계통의 질환	소화계통의 질환	소화계통의 질환	소화계통의 질환	피부 및 피하조직의 질환	피부 및 피하조직의 질환	피부 및 피하조직의 질환	근육골격계통 및 결합조직의 질환	근육골격계통 및 결합조직의 질환	근육골격계통 및 결합조직의 질환	비뇨생식계통의 질환	비뇨생식계통의 질환	비뇨생식계통의 질환	임신 출산 및 산후기	임신 출산 및 산후기	출생전후기에 기원한 특정병태	출생전후기에 기원한 특정병태	출생전후기에 기원한 특정병태	선천 기형 변형 및 염색체 이상	선천 기형 변형 및 염색체 이상	선천 기형 변형 및 염색체 이상	달리 분류되지 않은 증상 징후	달리 분류되지 않은 증상 징후	달리 분류되지 않은 증상 징후	질병이환 및 사망의 외인	질병이환 및 사망의 외인	질병이환 및 사망의 외인
기간	자치구	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2019	합계	43,829	24,859	18,970	1,143	614	529	13,808	8,601	5,207	120	65	55	1,243	704	539	493	280	213	1,986	879	1,107	8,685	4,612	4,073	4,648	2,734	1,914	1,765	1,130	635	49	20	29	258	80	178	1,183	557	626	3	3	72	39	33	51	26	25	4,433	1,901	2,532	3,889	2,617	1,272
2019	종로구	854	482	372	23	13	10	284	169	115	3	1	2	22	13	9	15	6	9	21	9	12	200	111	89	76	40	36	34	20	14	1	-	1	3	-	3	27	15	12	-	-	-	-	-	-	-	-	76	33	43	69	52	17
2019	중구	665	408	257	16	12	4	207	132	75	1	-	1	16	9	7	7	5	2	22	10	12	145	82	63	77	51	26	37	23	14	1	-	1	5	3	2	12	6	6	-	-	1	1	-	-	-	-	57	26	31	61	48	13
2019	용산구	1,107	620	487	32	19	13	332	214	118	3	2	1	28	14	14	11	7	4	53	17	36	235	128	107	111	64	47	58	42	16	1	-	1	5	2	3	28	13	15	1	1	2	1	1	2	1	1	125	43	82	80	53	27
2019	성동구	1,369	786	583	37	23	14	447	291	156	1	1	-	26	11	15	15	7	8	60	29	31	261	129	132	143	84	59	66	44	22	2	-	2	7	1	6	48	24	24	-	-	5	2	3	1	-	1	133	60	73	117	80	37
2019	광진구	1,385	770	615	29	9	20	461	274	187	2	-	2	39	21	18	18	12	6	54	31	23	299	152	147	145	85	60	60	41	19	1	-	1	8	3	5	44	22	22	-	-	-	-	-	2	2	-	101	34	67	122	84	38
2019	동대문구	1,851	1,085	766	49	24	25	566	370	196	4	3	1	42	20	22	28	18	10	79	33	46	387	218	169	228	139	89	85	52	33	1	-	1	10	3	7	53	22	31	-	-	2	1	1	5	2	3	154	67	87	158	113	45
2019	중랑구	2,049	1,236	813	46	26	20	631	407	224	6	4	2	61	33	28	23	11	12	90	52	38	355	201	154	243	156	87	103	71	32	4	1	3	10	4	6	42	21	21	-	-	8	4	4	2	1	1	219	104	115	206	140	66
2019	성북구	2,184	1,232	952	53	28	25	678	414	264	10	5	5	68	42	26	17	13	4	79	32	47	471	261	210	236	130	106	82	58	24	-	-	-	7	1	6	51	29	22	1	1	2	1	1	3	1	2	231	82	149	195	135	60
