대여소 그룹,대여소 명,대여 일자 / 월,대여 건수
강남구,2301. 현대고등학교 건너편,202006,4512
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202006,1650
강남구,2303. 논현역 7번출구,202006,1134
강남구,2304. 신영 ROYAL PALACE 앞,202006,399
강남구,2305. MCM 본사 직영점 앞,202006,490
강남구,2306. 압구정역 2번 출구 옆,202006,1310
강남구,2307. 압구정 한양 3차 아파트,202006,1935
강남구,2308. 압구정파출소 앞,202006,1054
강남구,2309. 청담역(우리들병원 앞),202006,663
강남구,2310. 청담동 맥도날드 옆(위치),202006,728
강남구,2311. 학동로 래미안 아파트 앞,202006,522
강남구,2312. 청담역 13번 출구 앞,202006,673
강남구,2313. 금원빌딩 앞,202006,1542
강남구,2314. 청담나들목입구,202006,1153
강남구,2315. 봉은사역 5번출구 옆,202006,1427
강남구,2316. 삼성역 8번출구,202006,1769
강남구,2317. 삼성도로공원,202006,1329
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202006,654
강남구,2319. 포스코4거리 서측(수협 삼성동 지점),202006,649
강남구,2320. 도곡역 대치지구대 방향,202006,941
강남구,2321. 학여울역 사거리,202006,1112
강남구,2322. 삼성역 3번 출구,202006,1083
강남구,2323. 주식회사 오뚜기 정문 앞,202006,574
강남구,2324. 천주교 대치 2동 교회 옆,202006,1492
강남구,2325. 대치동 버거킹대치점,202006,1246
강남구,2326. 대치동 삼성로,202006,372
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202006,1137
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202006,581
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202006,393
강남구,2330. 스타벅스 앞,202006,668
강남구,2331. 동영문화센터앞,202006,736
강남구,2332. 선릉역3번출구,202006,1346
강남구,2333. 양재역 3번출구 주변,202006,1317
강남구,2334. 삼호아파트 2동 ( 간선도로),202006,159
강남구,2335. 3호선 매봉역 3번출구앞,202006,1295
강남구,2336. 강남세브란스교차로 래미안그레이튼 104동 앞,202006,292
강남구,2337. 대모산입구역 2번출구 앞,202006,533
강남구,2339. 현대아파트 정문 앞,202006,568
강남구,2340. 삼호물산버스정류장(23370) 옆,202006,1880
강남구,2341. 일원역 4~5번 출구 사이,202006,461
강남구,2342. 대청역 1번출구 뒤,202006,2324
강남구,2343. 세곡사거리 대왕파출소 앞,202006,179
강남구,2344. 리엔파크 2단지 앞,202006,867
강남구,2347. 두산건설 본사,202006,444
강남구,2348. 포스코사거리(기업은행),202006,2040
강남구,2349. 역삼빌딩 앞(하나은행 옆),202006,349
강남구,2350. 래미안그레이튼102동앞,202006,359
강남구,2351. 청소년수련관(수영장)앞,202006,236
강남구,2352. 서울본부세관(건설회관 앞),202006,312
강남구,2353. 강남구청역 2번출구 뒤,202006,824
강남구,2354. 청담역 2번출구,202006,364
강남구,2355. 삼성역 5~6번 출구 사이,202006,1694
강남구,2356. 강남구청,202006,773
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202006,309
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202006,249
강남구,"2359. 국립국악중,고교 정문 맞은편",202006,962
강남구,2360. 도곡1동 주민센터 교차로,202006,543
강남구,2361. 압구정역 교차로,202006,1065
강남구,2362. 신사동 가로수길 입구,202006,1186
강남구,2363. 강남 을지병원 교차로,202006,458
강남구,2364. 도산대로 렉서스 앞,202006,625
강남구,2365. K+ 타워 앞,202006,1238
강남구,2368. 도곡동 경남아파트 건너편,202006,254
강남구,2369. KT선릉타워,202006,1105
강남구,2370. 한티역 3번출구,202006,672
강남구,2371. 한국우편사업진흥원,202006,336
강남구,2372. 대치역 사거리,202006,1479
강남구,2373. 개포동역 사거리,202006,1540
강남구,2375. 수서역 1번출구 앞,202006,1110
강남구,2376. 수서역 6번출구 앞,202006,24
강남구,2377. 수서역 5번출구 뒤,202006,2820
강남구,2380. 삼성동베이직하우스앞,202006,557
강남구,2381. 언주역 6번출구앞,202006,533
강남구,2382. 역삼동 sk뷰 501동앞,202006,298
강남구,2383. 보금자리정원,202006,316
강남구,2384. 자곡사거리,202006,2073
강남구,2385. 학동역,202006,761
강남구,2387. 래미안강남힐즈 사거리,202006,973
강남구,2388. 강남구 도시관리공단,202006,409
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),202006,625
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),202006,277
강남구,2391. 구룡터널 입구(개포1단지아파트),202006,18
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),202006,59
강남구,2393. 구룡사 앞 교차로 (보도육교),202006,83
강남구,2394. 래미안강남포레스트 입구 (보도육교),202006,5
강남구,2395. 개포1단지아파트 입구 (보도육교),202006,18
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),202006,725
강남구,2398. 더라움,202006,484
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),202006,261
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),202006,175
강남구,2404. 대모산입구역 4번 출구 앞,202006,911
강남구,2405. 청담공원앞 교차로,202006,1050
강남구,2406. 논현동 광명빌딩 앞,202006,383
강남구,2407. 역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),202006,1375
강남구,2408. 강남한양수자인아파트,202006,722
강남구,2409. 역삼동 디오슈페리움 (우성아파트 사거리),202006,1073
강남구,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),202006,666
강남구,2411. 세곡동 성당,202006,955
강남구,2412. 일원1동 주민센터,202006,1836
강남구,2413.도곡역 1번 출구,202006,373
강남구,2414. 도곡역 아카데미스위트 앞,202006,731
강남구,2415.한티역 롯데백화점 앞,202006,457
강남구,2416.한티역 6번 출구,202006,150
강남구,2417.선정릉 일등 추어탕 앞,202006,106
강남구,2418.봉은사역 7번 출구,202006,483
강남구,"2419.봉은사역 1,2번 출구",202006,420
강남구,2420.학여울역 사거리(LG베스트샵 앞),202006,496
강남구,2421. 신논현역 4번출구,202006,235
강남구,2422.수서동 성당 맞은편,202006,398
강남구,2423.영희초교 사거리(래미안개포루체하임),202006,722
강남구,2425.세곡동 사거리(대왕초등학교 정류장),202006,87
강남구,2426.강남한신휴플러스 6단지,202006,236
강남구,2427.개포고등학교 정문앞,202006,3
강남구,2428.롯데리아 개포점앞,202006,193
강남구,2429.압구정로데오역 6번출구,202006,835
강남구,2430.강남파이낸스센터앞(역삼역2번출구),202006,274
강남구,2431.대치역 7번출구,202006,566
강동구,1001. 광진교 남단 사거리(디지털프라자앞),202006,2648
강동구,1002. 해공공원(천호동),202006,3119
강동구,1003. 해공도서관앞,202006,909
강동구,1004. 삼성광나루아파트 버스정류장,202006,2172
강동구,1006. 롯데캐슬 115동앞,202006,907
강동구,1007.암사동 선사유적지,202006,207
강동구,1008. 암사역 3번출구(국민은행앞),202006,4323
강동구,1009. 천호역4번출구(현대백화점),202006,5068
강동구,1010. 강동세무서,202006,3411
강동구,1011. LIGA 아파트 앞,202006,3783
강동구,1012. 서울 상운차량,202006,1157
강동구,1013. 강동구청역 1번 출입구,202006,1523
강동구,1014. 강동구평생학습관앞,202006,1408
강동구,1015. 샛마을 근린공원,202006,1362
강동구,1016. 해뜨는 주유소옆 리엔파크 109동앞,202006,893
강동구,1017. 맥도날드(길동),202006,2570
강동구,1018. 둔촌 주공 GS 맞은편,202006,118
강동구,1019. 다성이즈빌아파트(호원대 대각선 맞은편),202006,3883
강동구,1020. 강동경찰서,202006,3230
강동구,1021. 강일동 리슈빌 빌딩앞,202006,1770
강동구,1022. 길동 사거리(초소앞),202006,1997
강동구,1023. 한국종합기술사옥 앞,202006,2150
강동구,1024. 강동구청 앞,202006,2895
강동구,1025. 상일초등학교,202006,884
강동구,1026. 대명초교 입구 교차로,202006,863
강동구,1027. 프라자 아파트 앞,202006,1513
강동구,1028. 포레스 주상복합 빌딩,202006,1606
강동구,1029. 롯데 시네마,202006,2679
강동구,1030. 미호 플랜트 앞,202006,1396
강동구,1031. 올림픽로 836(아리수로),202006,852
강동구,1032. 선사고등학교,202006,796
강동구,1033. 고덕동 아남아파트,202006,976
강동구,1034. 고덕동 래미안 힐스테이트,202006,596
강동구,1035. 고덕역 4번출구,202006,145
강동구,1036. 고덕동 주양쇼핑,202006,1922
강동구,1037. 강일리버파크 6단지,202006,259
강동구,1038. 강일 다솜 어린이 공원,202006,317
강동구,1039. 고덕초등학교,202006,254
강동구,1041. 묘곡초등학교,202006,885
강동구,1042. 강일리버파크 2~5단지,202006,841
강동구,1044. 굽은다리역,202006,5161
강동구,1047. 건강보험 강동지사kt,202006,2488
강동구,1048. 동부기업(둔촌동),202006,2551
강동구,1049. 강일리버파크 10단지,202006,1109
강동구,1050. 둔촌역 3번 출입구,202006,5206
강동구,1051. 양지시장 (용성약국앞) 입구,202006,1810
강동구,1052. 리싸이클시티,202006,479
강동구,1053. 동명근린공원 진입로 (아리수로),202006,386
강동구,1054. 말우물 어린이 공원,202006,372
강동구,1056. 강일리버파크 7~11단지,202006,500
강동구,1057. 능골근린공원,202006,870
강동구,1058. 고덕숲 아이파크 1,202006,1322
강동구,1059. 래미안 강동팰리스(102동),202006,1624
강동구,1060. 천일초교 사거리,202006,1065
강동구,1061. 천호초교 입구 사거리(일주빌딩),202006,1304
강동구,1062. 고덕숲 아이파크 2,202006,522
강동구,1063.강동롯데캐슬퍼스트 아파트(관리동),202006,519
강동구,1064.중앙보훈병원역 1번출구,202006,310
강동구,1065.보훈병원 정문옆(중앙대영약국),202006,260
강동구,1066.생태공원앞 교차로(조명탑),202006,98
강동구,1067.한영중고앞사거리,202006,283
강동구,1068.명일파출소,202006,913
강동구,1069.강동경희대학교병원 입구,202006,348
강동구,1071.명일근린공원공동체텃밭,202006,227
강동구,1073.SSTS 몰 앞,202006,812
강동구,1074.대명초교입구 사거리,202006,785
강동구,1075.천동초교 삼거리,202006,797
강동구,1076.전자랜드 길동점,202006,1371
강동구,1077.강동역 1번출구 앞,202006,1216
강동구,1078.둔촌사거리,202006,1557
강동구,1079.강일동입구교차로,202006,364
강동구,1080.엘웨딩,202006,582
강동구,1081.트레빌빌딩,202006,512
강동구,1082.중앙보훈병원역3번출구,202006,1
강동구,1083.광문고교사거리(아이파크),202006,458
강동구,1084. 윤선생빌딩(JYP사옥),202006,1379
강동구,1085.래미안 솔베뉴(고덕로),202006,267
강동구,1086.래미안 솔베뉴(구천면로),202006,349
강동구,1087.레미안 솔베뉴(양재대로),202006,112
강동구,1088.풍납사거리(강동),202006,882
강동구,1089.고덕 래미안힐스테이트(201동),202006,251
강동구,1090.상일동역 2번출구 앞,202006,1795
강동구,3539. 서원마을,202006,194
강북구,"1501. 미아역 3번,4번 출구 사이",202006,2075
강북구,1503. 이디야 커피 수유역점 앞,202006,4193
강북구,1504. 다이소 삼양시장점,202006,601
강북구,1506. 강북문화예술회관,202006,1179
강북구,1509. 서울북부수도사업소,202006,1244
강북구,1510. 번동주공5단지 관리사무소 앞,202006,391
강북구,1511. 번동 금호어울림아파트102동앞,202006,404
강북구,1512. 강북중학교 앞,202006,2223
강북구,1513. 강북구청 뒷편,202006,374
강북구,1514. 강북구청 사거리 버스정류소 앞,202006,2753
강북구,1515. 송천동 주민센터,202006,1058
강북구,1516. 우이초등학교 후문 옆,202006,933
