대여소 그룹,대여소 명,대여 일자 / 월,대여 건수
강남구,2301. 현대고등학교 건너편,202102,1713
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202102,538
강남구,2303. 논현역 7번출구,202102,440
강남구,2304. 신영 ROYAL PALACE 앞,202102,156
강남구,2305. MCM 본사 직영점 앞,202102,197
강남구,2306. 압구정역 2번 출구 옆,202102,723
강남구,2307. 압구정 한양 3차 아파트,202102,634
강남구,2308. 압구정파출소 앞,202102,571
강남구,2309. 청담역(우리들병원 앞),202102,160
강남구,2310. 청담동 맥도날드 옆(위치),202102,251
강남구,2311. 학동로 래미안 아파트 앞,202102,222
강남구,2312. 청담역 13번 출구 앞,202102,207
강남구,2313. 금원빌딩 앞,202102,548
강남구,2314. 청담나들목입구,202102,371
강남구,2315. 봉은사역 5번출구 옆,202102,456
강남구,2316. 삼성역 8번출구,202102,602
강남구,2317. 삼성도로공원,202102,492
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202102,254
강남구,2319. 포스코사거리 서측(수협 삼성동 지점),202102,236
강남구,2320. 도곡역 대치지구대 방향,202102,274
강남구,2321. 학여울역 사거리,202102,386
강남구,2322. 삼성역 3번 출구,202102,348
강남구,2323. 주식회사 오뚜기 정문 앞,202102,157
강남구,2324. 천주교 대치 2동 교회 옆,202102,514
강남구,2325. 대치동 버거킹대치점,202102,536
강남구,2326. 대치동 삼성로,202102,256
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202102,436
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202102,231
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202102,133
강남구,2330. 스타벅스 앞,202102,304
강남구,2331. 동영문화센터앞,202102,198
강남구,2332. 선릉역3번출구,202102,531
강남구,2333. 양재역 3번출구 주변,202102,479
강남구,2334. 삼호아파트 2동 ( 간선도로),202102,54
강남구,2335. 3호선 매봉역 3번출구앞,202102,681
강남구,2336. 강남세브란스교차로 래미안그레이튼 104동 앞,202102,110
강남구,2337. 대모산입구역 2번출구 앞,202102,255
강남구,2339. 현대아파트 정문 앞,202102,226
강남구,2340. 삼호물산버스정류장(23370) 옆,202102,854
강남구,2341. 일원역 4~5번 출구 사이,202102,143
강남구,2342. 대청역 1번출구 뒤,202102,699
강남구,2343. 세곡사거리 대왕파출소 앞,202102,21
강남구,2344. 리엔파크 2단지 앞,202102,250
강남구,2347. 두산건설 본사,202102,189
강남구,2348. 포스코사거리(기업은행),202102,797
강남구,2349. 역삼빌딩 앞(하나은행 옆),202102,100
강남구,2350. 래미안그레이튼102동앞,202102,164
강남구,2351. 청소년수련관(수영장)앞,202102,92
강남구,2352. 서울본부세관(건설회관 앞),202102,155
강남구,2353. 강남구청역 2번출구 뒤,202102,213
강남구,2354. 청담역 2번출구,202102,131
강남구,2355. 삼성역 5~6번 출구 사이,202102,750
강남구,2356. 강남구청,202102,187
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202102,92
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202102,153
강남구,"2359. 국립국악중,고교 정문 맞은편",202102,407
강남구,2360. 도곡1동 주민센터 교차로,202102,216
강남구,2361. 압구정역 교차로,202102,539
강남구,2362. 신사동 가로수길 입구,202102,450
강남구,2363. 강남 을지병원 교차로,202102,222
강남구,2364. 도산대로 렉서스 앞,202102,288
강남구,2365. K+ 타워 앞,202102,480
강남구,2368. 도곡동 경남아파트 건너편,202102,126
강남구,2369. KT선릉타워,202102,441
강남구,2370. 한티역 3번출구,202102,165
강남구,2371. 한국우편사업진흥원,202102,121
강남구,2372. 대치역 사거리,202102,576
강남구,2373. 개포동역 사거리,202102,649
강남구,2375. 수서역 1번출구 앞,202102,360
강남구,2376. 수서역 6번출구 앞,202102,113
강남구,2377. 수서역 5번출구 뒤,202102,902
강남구,2380. 삼성동베이직하우스앞,202102,196
강남구,2381. 언주역 6번출구앞,202102,229
강남구,2382. 역삼동 sk뷰 501동앞,202102,135
강남구,2383. 보금자리정원,202102,96
강남구,2384. 자곡사거리,202102,602
강남구,2385. 학동역,202102,352
강남구,2386. 크린랩 본사,202102,127
강남구,2387. 래미안강남힐즈 사거리,202102,252
강남구,2388. 강남구 도시관리공단,202102,195
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),202102,274
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),202102,150
강남구,2391. 구룡터널 입구(개포1단지아파트),202102,10
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),202102,26
강남구,2393. 구룡사 앞 교차로 (보도육교),202102,33
강남구,2394. 개포래미안포레스트아파트 107동 앞,202102,359
강남구,2395. 개포1단지아파트 입구 (보도육교),202102,38
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),202102,383
강남구,2398. 더라움,202102,158
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),202102,88
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),202102,69
강남구,2404. 대모산입구역 4번 출구 앞,202102,402
강남구,2405. 청담공원앞 교차로,202102,368
강남구,2406. 논현동 광명빌딩 앞,202102,130
강남구,2407. 역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),202102,651
강남구,2408. 강남한양수자인아파트,202102,327
강남구,2409. 역삼동 디오슈페리움 (우성아파트 사거리),202102,454
강남구,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),202102,280
강남구,2411. 세곡동 성당,202102,259
강남구,2412. 일원1동 주민센터,202102,652
강남구,2413.도곡역 1번 출구,202102,477
강남구,2414. 도곡역 아카데미스위트 앞,202102,471
강남구,2415.한티역 롯데백화점 앞,202102,308
강남구,2416.한티역 6번 출구,202102,113
강남구,2417.선정릉 디캠프(D.CAMP)앞,202102,120
강남구,2418.봉은사역 7번 출구,202102,380
강남구,"2419.봉은사역 1,2번 출구",202102,240
강남구,2420.학여울역 사거리(LG베스트샵 앞),202102,350
강남구,2421. 신논현역 4번출구,202102,271
강남구,2422.수서동 성당 맞은편,202102,206
강남구,2423.영희초교 사거리(래미안개포루체하임),202102,449
강남구,2425.세곡동 사거리(대왕초등학교 정류장),202102,53
강남구,2426.강남한신휴플러스 6단지,202102,149
